,zpid,description,homeType,heating,cooling,fireplaces,flooring,furnished,Schoole,neighborhoodName,appliances,associationAmenities,carParking
0,6596316,"Welcome to this beautiful sanctuary located in the highly coveted Ashford Forest Lake Section in the Energy Corridor. Step into a private retreat just steps away from Ashford Lake. Natural lights floods into the first floor living, complete with updated gourmet kitchen, high end appliances, wine bar, study, formal living and dining room. Upstairs you will find the spacious Primary bedroom and en-suite bathroom with double vanities, walk-in closet, soaking tub and walk-in shower. The exterior offers an exceptionally large backyard with private pool, ravine and lake access and side yard perfect for relaxing and entertaining! Additional Amenities include access to two neighborhood pools, tennis courts, and the scenic Terry Hershey Park Hike and Bike Trail. Nestled in the heart of the City, this home offers a serene oasis, surrounded by natural beauty and lush privacy, providing an idyllic retreat amidst urban convenience.",SINGLE_FAMILY,['Natural Gas'],"['Electric', 'Ceiling Fan(s)']",1,"['Carpet', 'Tile', 'Wood']",FALSE,"[{'name': 'Ashford Elementary School', 'level': 'Primary', 'rating': 5}, {'name': 'West Briar Middle School', 'level': 'Middle', 'rating': 6}, {'name': 'Westside High School', 'level': 'High', 'rating': 4}]","['Alief', 'Central Southwest', 'Clear Lake', 'Eldridge - West Oaks', 'Greater Fondren Southwest', 'Greater Uptown', 'Kingwood', 'Northside-Northline', 'Sharpstown', 'South Belt - Ellington']","['Water Heater', 'Refrigerator Included', 'Convection Oven', 'Double Oven', 'Gas Oven', 'Gas Cooktop', 'Dishwasher', 'Disposal', 'Microwave']",,
1,6596316,"Discover your dream home in Canfield with this stunning property offering a perfect blend of space, comfort and luxury living.  Located in the prestigious Tippecanoe County Club area, this home is ideal for those seeking a serene yet connected lifestyle. The spacious layout offers multiple levels of living space with flexibility for all.  With three generously sized bedrooms and potential for a fourth bedroom ensure ample space for everyone.  The Home Office is perfect for remote work or as a dedicated study area, enhancing productivity and convenience. Seamlessly connect with the indoor and outdoor living area with a walkout lower level, providing easy access to the landscaped backyard and a gorgeous, private oasis complete with a inground heated swimming pool.  This exceptionally updated home boast beautiful trim work though-out, warm cherry wood flooring, stainless appliances, 2 fireplaces, a finished lower level with wet bar and much more surrounded by the Tippecanoe Country Club grounds.",SINGLE_FAMILY,['Forced Air'],['Gas'],2,,FALSE,"[{'name': 'Canfield Village Middle School', 'level': 'Elementary', 'rating': 9}, {'name': 'Canfield High School', 'level': 'High', 'rating': 7}, {'name': 'C H Campbell Elementary School', 'level': 'Elementary', 'rating': 9}]",[],"['Built-In Oven', 'Cooktop', 'Dryer', 'Dishwasher', 'Disposal', 'Microwave', 'Refrigerator', 'Washer']",,
2,6596316,"Stunning Custom Built home with all the features you can think of!! If you like to entertain, this backyard is for you!!! Extra large heated gunite pool with a spa,  salt water,  9ft deep side for diving, fire pit, outdoor grilling/kitchen, covered deck with a beautiful fireplace! The interior features will charm you as soon as you walk in! Beautiful hardwoods throughout, planked wood ceilings in the dining and family room, 2 story vaulted family room with exposed beams, large kitchen open concept, large island, high end appliances and a walk-in pantry, stone 2 story fireplace, master bedroom and in-law/guest suite on the main, 3 bedrooms and a loft on the second level. The basement is another entertainer's heaven- full kitchen, butcher block island, movie theater, guest suite and living room. Master suite has its own HVAC unit with makes a total of 4 units!! Call Oana Brown to schedule a showing!",SINGLE_FAMILY,['Central'],['Central Air'],2,['Hardwood'],FALSE,"[{'name': 'Dacula Elementary School', 'level': 'Primary', 'rating': 6}, {'name': 'Dacula Middle School', 'level': 'Middle', 'rating': 6}, {'name': 'Dacula High School', 'level': 'High', 'rating': 6}]",[],"['Dishwasher', 'Double Oven']",,
3,6596316,"Experience the most impressive sunsets while floating the day away in your pool! This turnkey, move-in ready home boasts over 2,200 square feet of living space, featuring 4 spacious bedrooms and 2 bathrooms. Meticulously maintained, this home includes a new roof installed in 2021. Step inside to discover a bright and airy ambiance, enhanced by stunning volume ceilings that allow natural light to flood the open-concept floor plan. The home is tiled throughout, ensuring a clean and cohesive look. Notable interior features include tray ceilings, plantation shutters, and recessed lighting, adding a touch of sophistication to every room. The updated kitchen is a chef’s dream, equipped with quartz countertops, GE appliances, a center island, pantry, wood cabinetry, breakfast bar, and a cozy breakfast nook. Just off the kitchen, the interior laundry room doubles as a waiter’s pantry, complete with matching cabinetry and quartz countertops, a microwave, and a wine fridge. Relax or entertain in the inviting living room, or enjoy meals in the formal dining area perfect for social gatherings. Outside, the home continues to impress. The backyard is an oasis with a heated pool, pavered pool deck, waterfall feature, and covered area. Additional outdoor amenities include an extended pavered sitting area, mature landscaping, seawall, concrete dock, and kayak rack. For added convenience and peace of mind, the home includes a generator/propane and an electric shutter installed in 2022. This home offers the perfect blend of comfort, style, and outdoor beauty. Don’t miss the opportunity to experience the best of Florida living with breathtaking sunsets from your own freshwater pool home. Schedule a showing today!",SINGLE_FAMILY,['Central Electric'],['Central Electric'],,"['Carpet', 'Tile']",FALSE,"[{'name': 'Skyline Elementary School', 'level': 'Primary', 'rating': 5}, {'name': 'Challenger Middle School', 'level': 'Middle', 'rating': 6}, {'name': 'Cape Coral High School', 'level': 'High', 'rating': 5}]","['Bella Vida', 'Cape Harbour', 'Coral Lakes', 'Entrada', 'Heatherwood Lakes', 'Island Harbors', 'Royal Tee', 'Sandoval', 'Tarpon Point']","['Electric Cooktop', 'Dryer', 'Refrigerator/Icemaker']",['None'],0
4,6596316,"13102 Greensview Ln features 3 bedrooms, 2 full bathrooms, and a half bathroom. High ceilings and an open floor plan with new downstairs flooring, creates a spacious and airy atmosphere in the 2 story abode. Enjoy a view of the neighborhood from the front covered patio or of your personal oasis with fenced in swimming pool on the back covered porch with awning. A swing set is also available for extra convenience for little ones and the pool is surrounded by a deck. The kitchen is equipped with modern appliances. Head up the Jack and Jill stairs to the master bedroom with en-suite bathroom which offers a double vanity and a garden tub, perfect for a relaxing escape after a long day. The house also features a media/game room, a new ac, brick fire place, a dining room and a breakfast bar, providing plenty of space for work, relaxation, and entertainment. The property has a two-car garage and is located on a large cul de sac lot in the much sought after Northern Heights community. Schedule a showing today!",SINGLE_FAMILY,"['Central', 'Electric']",['Central Air'],1,"['Carpet', 'Ceramic Tile', 'Laminate']",FALSE,"[{'name': 'Northern Hills Elementary School', 'level': 'Primary', 'rating': 3}, {'name': 'Driscoll Middle School', 'level': 'Middle', 'rating': 5}, {'name': 'Madison High School', 'level': 'High', 'rating': 4}]","['Alamo Farmsteads-Babcock Road', 'Dellview Area', 'Great Northwest', 'Highland Hills', 'North Central', 'Palm Heights', 'People Active in Community Effort', 'Prospect Hill', 'South Southwest', 'Vance Jackson']","['Microwave', 'Range', 'Water Softener Owned']",,
5,6596316,"Welcome to 306 E Cascade, Rialto - a stunningly renovated 4-bedroom, 3-bathroom home that epitomizes modern elegance and comfort. This exquisite property has been meticulously upgraded from top to bottom, ensuring a luxurious living experience.    Step inside to discover a bright and airy interior, featuring a brand-new kitchen outfitted with sleek countertops, contemporary cabinetry, and state-of-the-art appliances. The bathrooms have been tastefully remodeled, boasting stylish fixtures and finishes. Gorgeous new flooring and fresh paint throughout the home create a cohesive and inviting atmosphere.    The master bedroom is a true retreat, offering ample space and tranquility. Each additional bedroom provides comfort and versatility, perfect for family, guests, or a home office.    Situated on an expansive lot, this property offers abundant outdoor space, ideal for entertaining, gardening, or simply enjoying the Southern California sunshine. With its prime location in Rialto, you'll have convenient access to local amenities, schools, and parks.    Don't miss the opportunity to own this beautifully renovated gem. Schedule your showing today and experience the charm and sophistication of 306 E Cascade, Rialto.",SINGLE_FAMILY,['Central'],['Central Air'],,['Laminate'],FALSE,"[{'name': 'Morgan Elementary School', 'level': 'Elementary', 'rating': 6}, {'name': 'Frisbie Middle School', 'level': 'Middle', 'rating': 3}, {'name': 'Eisenhower Senior High School', 'level': 'High', 'rating': 5}]",[],"['Dishwasher', 'Gas Range']",,
6,6596316,"Wow! Beautifully remodeled single-story home featuring an open great room floor plan with laminated wood flooring RV Parking, new fixtures, 2-tone paint, and a fireplace with a mantle and backsplash. Enjoy the vaulted ceilings, custom woodwork, and upgraded baseboards throughout. The kitchen is equipped with custom cabinets, a massive island with a quartz countertop, and a sliding glass door to the rear yard. The primary bedroom includes custom closet built-ins, a slider to the rear yard, and a stunning bathroom with dual sinks and a decorative shower backsplash. Secondary bedrooms also have custom closet built-ins. The private rear yard is perfect for entertaining with a covered patio, synthetic grass, and a fire pit.  Plus, there’s no HOA! Truly a must-see property in a fantastic location close to the highway, shopping, and restaurants!",SINGLE_FAMILY,"['Central', 'Gas']","['Central Air', 'Electric']",0,['Laminate'],FALSE,"[{'name': 'Lilly & Wing Fong Elementary School', 'level': 'Primary', 'rating': 6}, {'name': 'Frank F Garside Junior High School', 'level': 'Middle', 'rating': 2}, {'name': 'Western High School', 'level': 'High', 'rating': 5}]","['Centennial Hills', 'Charleston Heights', 'Enterprise', 'Lone Mountain', 'Michael Way', 'North Cheyenne', 'Paradise', 'Spring Valley', 'Summerlin North', 'Sunrise Manor']","['Dryer', 'Dishwasher', 'Disposal', 'Gas Range', 'Refrigerator', 'Washer']",['None'],0
7,6596316,"Welcome to this serene Waterfront Retreat! 

Discover this like-new 3-bedroom, 2-bathroom waterfront home nestled on almost an acre lot. Wood floors throughout the home create a warm and inviting ambiance, while the tile bathrooms and laundry room offer both functionality and style. The tranquil covered patio provides a perfect spot to take in the peaceful pond and the enchanting view of the trees across the water.

Step into the beautiful kitchen featuring upgraded quartz countertops and stainless steel appliances, making it the heart of this inviting abode. This picturesque waterfront property offers a perfect blend of modern luxury and natural serenity.",SINGLE_FAMILY,['Central'],['Central Air'],,"['Tile', 'Wood']",FALSE,"[{'name': 'Louis S. Sheffield Elementary School', 'level': 'Elementary', 'rating': 7}, {'name': 'Oceanway School', 'level': 'Middle', 'rating': 2}, {'name': 'First Coast High School', 'level': 'High', 'rating': 4}]","['Baymeadows', 'Beach Haven', 'Chimney Lakes', 'Deerwood', 'Del Rio', 'East Arlington', 'Golden Glades - The Woods', 'Jacksonville Heights', 'Sandalwood', 'Windy Hill']","['Dishwasher', 'Disposal', 'Dryer', 'Electric Range', 'Microwave', 'Refrigerator', 'Washer']",,
8,6596316,"Look no Further, incredible opportunity to be in the desirable Ivey Chase Community. As you step inside, you'll be greeted by a Two Story Foyer, Dining Room with Custom Barn Door, Office Space, and Hardwood Flooring that boast throughout the Main. The recently renovated kitchen is a chef's delight, with a working island, gas range, stainless steel appliances, and ample counter space for meal preparation. You'll enjoy the open living concept this home offers - a spacious living room with gas fireplace that flow effortlessly into the breakfast nook and kitchen, the perfect space for entertaining. Owners suite with trey ceilings and an ensuite bath with dual vanity sinks, soaking tub and tile surround shower. Upstairs you'll also find New Carpet throughout, Three Secondary Rooms, a Full Bath and Laundry Room. Escape to your Backyard and enjoy the Upgraded Expansive Patio, NEW 2024 ROOF and Lush Greenery that surrounds the Fenced in yard - creating the perfect space for Privacy and Outdoor Entertainment! Hometown Lifestyle close to Schools, Shopping, Dining, Entertainment, Multiple Public Parks and Recreation, Lake Lanier, and I85!",SINGLE_FAMILY,['Central'],"['Ceiling Fan(s)', 'Central Air']",1,"['Carpet', 'Hardwood']",FALSE,"[{'name': 'Dyer Elementary School', 'level': 'Primary', 'rating': 9}, {'name': 'Twin Rivers Middle School', 'level': 'Middle', 'rating': 8}, {'name': 'Mountain View High School', 'level': 'High', 'rating': 7}]",[],"['Cooktop', 'Dishwasher', 'Microwave', 'Oven']",,
9,6596316,"This stunning Candlewood home is ready for its new owners!  Prepare to be impressed by this modern multi-level home that is open, updated and spacious. The kitchen was recently remodeled and includes stainless steel appliances, quartz countertops, soft close cabinets, and a unique custom island.  The living room has vaulted ceilings and a fabulous fireplace wall. Natural light fills the home. The large primary bedroom includes a walk-in closet and dual sinks. The finished basement gives that extra added space for you or your family to enjoy, and would also be perfect for that sought after home office. The welcoming aspect of this home extends to the outdoors with a brick patio surrounded by a lush, LARGE fenced yard. The home is just steps away from your opportunity to enjoy a stroll around the picturesque lake. This is a great central location, with quick and easy access to Dodge.  Come check it out!",SINGLE_FAMILY,"['Forced Air', 'Natural Gas']",['Central Air'],1,"['Carpet', 'Ceramic Tile', 'Laminate', 'Wood', 'Ceramic Tile Floor']",FALSE,"[{'name': 'Columbian Elementary School', 'level': 'Primary', 'rating': 6}, {'name': 'Beveridge Magnet Middle School', 'level': 'Middle', 'rating': 3}, {'name': 'Burke High School', 'level': 'High', 'rating': 5}]","['Aksarben-Elmwood Park', 'Benson', 'Deer Park', 'Elkhorn', 'Hanscom Park', 'Maple Village', 'Miller Park-Minne Lusa', 'Northwest', 'Triple One', 'Wiercrest']","['Range - Cooktop + Oven', 'Refrigerator', 'Washer', 'Dishwasher', 'Dryer', 'Disposal', 'Microwave']",,
